researcher,role,studies,institution,lab,institution_lab,full_address,Latitude,Longitude,notes
Christina Bergmann,Governing Board,MB-AtHome,Max Planck Institute for Psycholinguistics,Language Development Department,Max Planck Institute for Psycholinguistics - Language Development Department,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",51.8179934,5.8570934,
Rhodri Cusack,,MB-AtHome,Trinity College Dublin,,,"College Green, Dublin 2, Ireland",53.3446394,-6.2595373,
Lorijn Zaadnoordijk,,MB-AtHome,Trinity College Dublin,,,"College Green, Dublin 2, Ireland",53.3446394,-6.2595373,
Sho Tsuji,,MB-AtHome,The University of Tokyo,,,"The University of Tokyo Kashiwa Campus, Todai Higashi Uradori, Kashiwa, Chiba Prefecture 277-8583, Japan",35.9023219,139.9358588,
Helen Buckler,,MB-AtHome,University of Nottingham,,,"University of Nottingham, University Blvd, Wollaton NG9 2GJ, UK",52.938637,-1.195158,
Petra Bolitho,,MB1,Victoria University of Wellington,,,"Victoria University of Wellington, Chancery Sq, Auckland Central, Waitematā, New Zealand",-36.848322,174.7677,
Alia Martin,,MB1,Victoria University of Wellington,,,"Victoria University of Wellington, Chancery Sq, Auckland Central, Waitematā, New Zealand",-36.848322,174.7677,
Dhanya Dinakar,,MB1,Western Sydney University,,,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",-33.7685199,150.7288547,
Liquan Liu,,MB1,Western Sydney University,,,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",-33.7685199,150.7288547,
Linda E. Campbell,,MB1,"University of Newcastle, Australia",,,"University of Newcastle, Callaghan, University Dr, Callaghan NSW 2308, Australia",-32.8927718,151.7041775,
Alix Woolard,,MB1,"University of Newcastle, Australia",,,"University of Newcastle, Callaghan, University Dr, Callaghan NSW 2308, Australia",-32.8927718,151.7041775,
Shruthilaya Ramachandran,,MB1,National University of Singapore,,,"21 Lower Kent Ridge Rd, Singapore 119077",1.2971365,103.7775268,
Leher Singh,,MB1,National University of Singapore,,,"21 Lower Kent Ridge Rd, Singapore 119077",1.2971365,103.7775268,
Natalia Arias-Trejo,,MB1,"Universidad Nacional Autónoma de México, UNAM",,,"National Autonomous University of Mexico, Boulevard Cataratas, Jardines del Pedregal de San Ángel, 04500, Mexico City, Mexico",19.3228313,-99.1865774,
Roberto J. Lazo,,MB1,University of Miami,,,"1320 S Dixie Hwy, Coral Gables, FL 33146, United States",25.713272,-80.2773859,
Elizabeth A. Simpson,,MB1,University of Miami,,,"1320 S Dixie Hwy, Coral Gables, FL 33146, United States",25.713272,-80.2773859,
Megan Foley,,MB1,Florida State University,,,"Florida State University, 600 West College Ave, Tallahassee, FL 32306-1058, USA",30.4418778,-84.2984889,
Michelle Lee,,MB1,"University of California, San Diego",,,"9500 Gilman Dr, La Jolla, CA 92093, United States",32.8824069,-117.2348172,
Adena Schachner,,MB1,"University of California, San Diego",,,"9500 Gilman Dr, La Jolla, CA 92093, United States",32.8824069,-117.2348172,
Shannon M. Brady,,MB1,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Joan Christodoulou,,MB1,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Scott P. Johnson,,MB1,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Victoria Mateu,,MB1,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Megha Sundara,,MB1,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Mitsuhiko Ishikawa,,MB1,Kyoto University,,,"Kyoto University, Higashioji dori, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan",35.0262444,135.7808218,
Shoji Itakura,,MB1,Kyoto University,,,"Kyoto University, Higashioji dori, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan",35.0262444,135.7808218,
Yusuke Moriguchi,,MB1,Kyoto University,,,"Kyoto University, Higashioji dori, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan",35.0262444,135.7808218,
Eon-Suk Ko,,MB1,Chosun University,,,"Chosun University, 남광주고가도로, Gwangju, 61473, South Korea",35.1414794,126.9320251,
