researcher,role,studies,institution,lab,institution_lab,full_address,country,continent,Latitude,Longitude,notes
Christina Bergmann,Governing Board,MB-AtHome,Max Planck Institute for Psycholinguistics,Language Development Department,Max Planck Institute for Psycholinguistics - Language Development Department,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",The Netherlands,Europe,51.8179934,5.8570934,NA
Rhodri Cusack,NA,MB-AtHome,Trinity College Dublin,NA,NA,"College Green, Dublin 2, Ireland",Ireland,Europe,53.3446394,-6.2595373,NA
Lorijn Zaadnoordijk,NA,MB-AtHome,Trinity College Dublin,NA,NA,"College Green, Dublin 2, Ireland",Ireland,Europe,53.3446394,-6.2595373,NA
Sho Tsuji,NA,MB-AtHome,The University of Tokyo,NA,NA,"The University of Tokyo Kashiwa Campus, Todai Higashi Uradori, Kashiwa, Chiba Prefecture 277-8583, Japan",Japan,Asia,35.9023219,139.9358588,NA
Helen Buckler,NA,MB-AtHome,University of Nottingham,NA,NA,"University of Nottingham, University Blvd, Wollaton NG9 2GJ, UK",United Kingdom,Europe,52.938637,-1.195158,NA
Petra Bolitho,NA,MB1,Victoria University of Wellington,NA,NA,"Victoria University of Wellington, Chancery Sq, Auckland Central, WaitematÄ, New Zealand",New Zealand,Oceania,-36.848322,174.7677,NA
Alia Martin,NA,MB1,Victoria University of Wellington,NA,NA,"Victoria University of Wellington, Chancery Sq, Auckland Central, WaitematÄ, New Zealand",New Zealand,Oceania,-36.848322,174.7677,NA
Dhanya Dinakar,NA,MB1,Western Sydney University,NA,NA,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",Australia,Oceania,-33.7685199,150.7288547,NA
Liquan Liu,NA,MB1,Western Sydney University,NA,NA,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",Australia,Oceania,-33.7685199,150.7288547,NA
Linda E. Campbell,NA,MB1,"University of Newcastle, Australia",NA,NA,"University of Newcastle, Callaghan, University Dr, Callaghan NSW 2308, Australia",Australia,Oceania,-32.8927718,151.7041775,NA
Alix Woolard,NA,MB1,"University of Newcastle, Australia",NA,NA,"University of Newcastle, Callaghan, University Dr, Callaghan NSW 2308, Australia",Australia,Oceania,-32.8927718,151.7041775,NA
Shruthilaya Ramachandran,NA,MB1,National University of Singapore,NA,NA,"21 Lower Kent Ridge Rd, Singapore 119077",Singapore,Asia,1.2971365,103.7775268,NA
Leher Singh,NA,MB1,National University of Singapore,NA,NA,"21 Lower Kent Ridge Rd, Singapore 119077",Singapore,Asia,1.2971365,103.7775268,NA
Natalia Arias-Trejo,NA,MB1,"Universidad Nacional AutÃ³noma de MÃ©xico, UNAM",NA,NA,"National Autonomous University of Mexico, Boulevard Cataratas, Jardines del Pedregal de San Ãngel, 04500, Mexico City, Mexico",Mexico,Latin America,19.3228313,-99.1865774,NA
Roberto J. Lazo,NA,MB1,University of Miami,NA,NA,"1320 S Dixie Hwy, Coral Gables, FL 33146, United States",United States,North America,25.713272,-80.2773859,NA
Elizabeth A. Simpson,NA,MB1,University of Miami,NA,NA,"1320 S Dixie Hwy, Coral Gables, FL 33146, United States",United States,North America,25.713272,-80.2773859,NA
Megan Foley,NA,MB1,Florida State University,NA,NA,"Florida State University, 600 West College Ave, Tallahassee, FL 32306-1058, USA",United States,North America,30.4418778,-84.2984889,NA
Michelle Lee,NA,MB1,"University of California, San Diego",NA,NA,"9500 Gilman Dr, La Jolla, CA 92093, United States",United States,North America,32.8824069,-117.2348172,NA
Adena Schachner,NA,MB1,"University of California, San Diego",NA,NA,"9500 Gilman Dr, La Jolla, CA 92093, United States",United States,North America,32.8824069,-117.2348172,NA
Shannon M. Brady,NA,MB1,UCLA,NA,NA,"Los Angeles, CA 90095, United States",United States,North America,34.070264,-118.4440562,NA
Joan Christodoulou,NA,MB1,UCLA,NA,NA,"Los Angeles, CA 90095, United States",United States,North America,34.070264,-118.4440562,NA
Scott P. Johnson,NA,MB1,UCLA,NA,NA,"Los Angeles, CA 90095, United States",United States,North America,34.070264,-118.4440562,NA
Victoria Mateu,NA,MB1,UCLA,NA,NA,"Los Angeles, CA 90095, United States",United States,North America,34.070264,-118.4440562,NA
Megha Sundara,NA,MB1,UCLA,NA,NA,"Los Angeles, CA 90095, United States",United States,North America,34.070264,-118.4440562,NA
Mitsuhiko Ishikawa,NA,MB1,Kyoto University,NA,NA,"Kyoto University, Higashioji dori, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan",Japan,Asia,35.0262444,135.7808218,NA
Shoji Itakura,NA,MB1,Kyoto University,NA,NA,"Kyoto University, Higashioji dori, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan",Japan,Asia,35.0262444,135.7808218,NA
Yusuke Moriguchi,NA,MB1,Kyoto University,NA,NA,"Kyoto University, Higashioji dori, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8501, Japan",Japan,Asia,35.0262444,135.7808218,NA
Eon-Suk Ko,NA,MB1,Chosun University,NA,NA,"Chosun University, ë‚¨ê´‘ì£¼ê³ ê°€ë„ë¡œ, Gwangju, 61473, South Korea",South Korea,Asia,35.1414794,126.9320251,NA
Ayumi Sato,NA,MB1,Shimane University,NA,NA,"1060 Nishikawatsucho, Matsue, Shimane 690-0823, Japan",Japan,Asia,35.4864094,133.0681197,NA
Greg D. Reynolds,NA,MB1,"University of Tennessee, Knoxville",NA,NA,"University of Tennessee, Tce Ave, Knoxville, TN 37916, USA",United States,North America,35.9529465,-83.9363486,NA
Kelly C. Roth,NA,MB1,"University of Tennessee, Knoxville",NA,NA,"University of Tennessee, Tce Ave, Knoxville, TN 37916, USA",United States,North America,35.9529465,-83.9363486,NA
Jessica Hay,NA,MB1,"University of Tennessee, Knoxville",NA,NA,"University of Tennessee, Tce Ave, Knoxville, TN 37916, USA",United States,North America,35.9529465,-83.9363486,NA
Sara Parvanezadeh Esfahani,NA,MB1,"University of Tennessee, Knoxville",NA,NA,"University of Tennessee, Tce Ave, Knoxville, TN 37916, USA",United States,North America,35.9529465,-83.9363486,NA
Elika Bergelson,NA,MB1,Duke University,NA,NA,"Durham, NC 27708, United States",United States,North America,35.9992263,-78.9472089,NA
Jennifer L. Rennels,NA,MB1,"University of Nevada, Las Vegas",NA,NA,"4505 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Yana Ryjova,NA,MB1,"University of Nevada, Las Vegas",NA,NA,"4505 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Erin E. Hannon,NA,MB1,"University of Nevada, Las Vegas",NA,NA,"4505 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Karli M. Nave,NA,MB1,"University of Nevada, Las Vegas",NA,NA,"4505 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Robin Panneton,NA,MB1,Virginia Tech,NA,NA,"Virginia Polytechnic Institute and State University, Lee St, Blacksburg, VA 24060-7401, USA",United States,North America,37.2283843,-80.4234167,NA
Michael C. Frank,Governing Board,MB1,Stanford University,Language and Cognition Lab,Stanford University - Language and Cognition Lab,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Michael C. Frank,NA,MB1,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Danielle J. Kellier,NA,MB1,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Cara Cashon,NA,MB1,University of Louisville,NA,NA,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",United States,North America,38.2122761,-85.7585023,NA
Kate C. Dixon,NA,MB1,University of Louisville,NA,NA,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",United States,North America,38.2122761,-85.7585023,NA
Nonah M. Olesen,NA,MB1,University of Louisville,NA,NA,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",United States,North America,38.2122761,-85.7585023,NA
Krisztina V. Jakobsen,NA,MB1,James Madison University,NA,NA,"800 S Main St, Harrisonburg, VA 22807, United States",United States,North America,38.4400229,-78.8716115,NA
Derek M. Houston,NA,MB1,The Ohio State University,NA,NA,"The Ohio State University, North Star Rd, Upper Arlington, OH 43212, USA",United States,North America,40.0068363,-83.0306222,NA
Doroteja Rubez,NA,MB1,The Ohio State University,NA,NA,"The Ohio State University, North Star Rd, Upper Arlington, OH 43212, USA",United States,North America,40.0068363,-83.0306222,NA
Yuanyuan Wang,NA,MB1,The Ohio State University,NA,NA,"The Ohio State University, North Star Rd, Upper Arlington, OH 43212, USA",United States,North America,40.0068363,-83.0306222,NA
Teresa Flanagan,NA,MB1,Franklin & Marshall College,NA,NA,"Franklin & Marshall College, Old Main Dr, Lancaster, PA 17604, USA",United States,North America,40.0487391,-76.3199227,NA
Lauren H. Howard,NA,MB1,Franklin & Marshall College,NA,NA,"Franklin & Marshall College, Old Main Dr, Lancaster, PA 17604, USA",United States,North America,40.0487391,-76.3199227,NA
Steven G. Luke,NA,MB1,Brigham Young University,NA,NA,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",United States,North America,40.2492507,-111.6544376,NA
Rebecca A. Lundwall,NA,MB1,Brigham Young University,NA,NA,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",United States,North America,40.2492507,-111.6544376,NA
Casey Lew-Williams,NA,MB1,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Christine Potter,NA,MB1,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Arielle Borovsky,NA,MB1,Purdue University,NA,NA,"610 Purdue Mall, West Lafayette, IN 47907, United States",United States,North America,40.428246,-86.9143911,NA
Amanda Seidl,NA,MB1,Purdue University,NA,NA,"610 Purdue Mall, West Lafayette, IN 47907, United States",United States,North America,40.428246,-86.9143911,NA
Didar Karadag,NA,MB1,Bogazici University,NA,NA,"Bebek, 34342 BeÅŸiktaÅŸ/Ä°stanbul, Turkey",Turkey,Asia,41.0777437,29.0416286,NA
Gaye Soley,NA,MB1,Bogazici University,NA,NA,"Bebek, 34342 BeÅŸiktaÅŸ/Ä°stanbul, Turkey",Turkey,Asia,41.0777437,29.0416286,NA
Alexis K. Black,NA,MB1,Haskins Laboratories,NA,NA,"300 George St #900, New Haven, CT 06511, United States",United States,North America,41.3048024,-72.9311075,NA
Jill Lany,NA,MB1,University of Notre Dame,NA,NA,"Notre Dame, IN 46556, United States",United States,North America,41.7001908,-86.2379328,NA
Abbie Thompson,NA,MB1,University of Notre Dame,NA,NA,"Notre Dame, IN 46556, United States",United States,North America,41.7001908,-86.2379328,NA
Benjamin Morris,NA,MB1,University of Chicago,NA,NA,"The University of Chicago, 5801 South Ellis Ave, Chicago, IL 60637, USA",United States,North America,41.7886079,-87.5987133,NA
Daniel Yurovsky,NA,MB1,University of Chicago,NA,NA,"The University of Chicago, 5801 South Ellis Ave, Chicago, IL 60637, USA",United States,North America,41.7886079,-87.5987133,NA
Brock Ferguson,NA,MB1,Strong Analytics,NA,NA,"330 N Wabash Ave. 23rd Floor. Chicago, IL 60611, US.",United States,North America,41.8886304,-87.6274989,NA
Miriam A Novack,NA,MB1,Northwestern University,NA,NA,"633 Clark St, Evanston, IL 60208, United States",United States,North America,42.0506265,-87.6797271,NA
Sandra Waxman,NA,MB1,Northwestern University,NA,NA,"633 Clark St, Evanston, IL 60208, United States",United States,North America,42.0506265,-87.6797271,NA
Mihye Choi,NA,MB1,University of Massachusetts Boston,NA,NA,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",United States,North America,42.3144915,-71.0373279,NA
Mohinish Shukla,NA,MB1,University of Massachusetts Boston,NA,NA,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",United States,North America,42.3144915,-71.0373279,NA
Sara Cordes,NA,MB1,Boston College,NA,NA,"Boston College, 140 Commonwealth Ave, Newton, MA 02467, USA",United States,North America,42.3355488,-71.1684945,NA
Sophie Savelkouls,NA,MB1,Boston College,NA,NA,"Boston College, 140 Commonwealth Ave, Newton, MA 02467, USA",United States,North America,42.3355488,-71.1684945,NA
Melissa Kline,NA,MB1,Massachusetts Institute of Technology,NA,NA,"77 Massachusetts Ave, Cambridge, MA 02139, United States",United States,North America,42.3592444,-71.0931389,NA
Jonathan F. Kominsky,NA,MB1,Harvard University,NA,NA,"Cambridge, MA, United States",United States,North America,42.3736158,-71.1097335,NA
Jenny Saffran,NA,MB1,University of Wisconsin-Madison,NA,NA,"University of Wisconsin-Madison, West Gilman St, Madison, WI 53703, USA",United States,North America,43.0753906,-89.3921809,NA
Martin Zettersten,NA,MB1,University of Wisconsin-Madison,NA,NA,"University of Wisconsin-Madison, West Gilman St, Madison, WI 53703, USA",United States,North America,43.0753906,-89.3921809,NA
Haley E. Kragness,NA,MB1,McMaster University,NA,NA,"1280 Main St W, Hamilton, ON L8S 4L8, Canada",Canada,North America,43.2622445,-79.9202861,NA
Laurel J. Trainor,NA,MB1,McMaster University,NA,NA,"1280 Main St W, Hamilton, ON L8S 4L8, Canada",Canada,North America,43.2622445,-79.9202861,NA
Laura K. Cirelli,NA,MB1,University of Toronto Mississauga,NA,NA,"3359 Mississauga Rd, Mississauga, ON L5L 1C6, Canada",Canada,North America,43.5482823,-79.6645141,NA
Sandra E. Trehub,NA,MB1,University of Toronto Mississauga,NA,NA,"3359 Mississauga Rd, Mississauga, ON L5L 1C6, Canada",Canada,North America,43.5482823,-79.6645141,NA
Dare Baldwin,NA,MB1,University of Oregon,NA,NA,"1585 E 13th Ave, Eugene, OR 97403, United States",United States,North America,44.0459883,-123.0704296,NA
Jessica E. Kosie,NA,MB1,University of Oregon,NA,NA,"1585 E 13th Ave, Eugene, OR 97403, United States",United States,North America,44.0459883,-123.0704296,NA
Christopher Fennell,NA,MB1,University of Ottawa,NA,NA,"75 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",Canada,North America,45.4244969,-75.6864737,NA
Angeline Sin-Mei Tsui,NA,MB1,University of Ottawa,NA,NA,"75 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",Canada,North America,45.4244969,-75.6864737,NA
Krista Byers-Heinlein,NA,MB1,Concordia University,NA,NA,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",Canada,North America,45.4953889,-73.5781954,NA
Meghan Mastroberardino,NA,MB1,Concordia University,NA,NA,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",Canada,North America,45.4953889,-73.5781954,NA
Adriel John Orena,NA,MB1,McGill University,NA,NA,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",Canada,North America,45.5025572,-73.5808286,NA
Linda Polka,NA,MB1,McGill University,NA,NA,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",Canada,North America,45.5025572,-73.5808286,NA
